date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-03-03,ASML,695.93,HOLD,0.5,10,732.54,40.36,8.87,-165.8,-4.39,1.54,-5.92,768.94,732.54,696.13,0,0,0,0,0,0,0
2025-03-04,ASML,704.25,SELL,0.8,40,731.48,43.08,7.72,-150.92,-6.1,-0.68,-5.43,769.83,731.48,693.13,1,-1,-1,-1,-1,-1,1
2025-03-05,ASML,735.6,HOLD,0.5,10,731.97,51.95,11.28,-18.39,-6.76,-4.68,-2.07,770.27,731.97,693.67,0,0,0,0,0,0,0
2025-03-06,ASML,710.83,HOLD,0.5,20,730.67,45.31,10.72,-81.62,-7.14,-5.17,-1.96,769.97,730.67,691.37,1,1,1,1,1,1,0
2025-03-10,ASML,679.28,HOLD,0.5,20,728.26,39.81,8.02,-188.66,-7.69,-4.32,-3.38,773.37,728.26,683.15,0,0,0,0,0,0,0
2025-03-11,ASML,686.34,HOLD,0.5,20,725.66,41.73,8.85,-140.82,-9.4,-5.33,-4.07,774.02,725.66,677.3,1,1,1,1,1,1,0
2025-03-12,ASML,699.42,HOLD,0.5,10,723.19,45.35,7.32,-87.95,-9.11,-5.53,-3.58,771.62,723.19,674.76,0,0,0,0,0,0,0
2025-03-13,ASML,690.69,HOLD,0.5,20,720.13,43.47,8.09,-98.29,-9.88,-6.4,-3.48,768.65,720.13,671.61,1,0,0,0,-1,0,0
2025-03-14,ASML,709.99,HOLD,0.5,10,717.0,48.54,8.06,-35.41,-8.83,-6.89,-1.94,759.24,717.0,674.76,0,0,0,0,0,0,0
2025-03-17,ASML,726.23,HOLD,0.5,10,715.95,52.16,14.74,23.06,-7.53,-8.17,0.64,756.1,715.95,675.79,0,0,0,0,0,0,0
2025-03-18,ASML,727.01,HOLD,0.5,20,715.29,52.28,13.86,32.7,-5.84,-8.03,2.19,754.27,715.29,676.31,0,0,0,0,0,0,0
2025-03-19,ASML,730.79,HOLD,0.5,20,714.8,53.15,13.32,66.68,-4.21,-7.58,3.37,752.72,714.8,676.88,0,0,0,0,0,0,0
2025-03-20,ASML,729.94,HOLD,0.5,10,714.35,52.89,12.7,53.97,-2.72,-6.61,3.89,751.32,714.35,677.38,0,0,0,0,0,0,0
2025-03-21,ASML,712.2,HOLD,0.5,10,713.31,47.71,12.09,-8.7,-2.94,-5.87,2.94,749.27,713.31,677.35,0,0,0,0,0,0,0
2025-03-24,ASML,723.76,HOLD,0.5,10,712.91,51.3,10.58,55.74,-1.5,-4.32,2.82,748.2,712.91,677.61,0,0,0,0,0,0,0
2025-03-25,ASML,722.66,BUY,0.8,60,712.73,51.17,9.3,58.73,-0.46,-2.95,2.49,747.8,712.73,677.66,2,2,1,1,2,2,1
2025-03-26,ASML,701.8,HOLD,0.5,10,710.69,45.6,10.83,-33.99,-0.14,-0.48,0.34,743.2,710.69,678.17,0,0,0,0,0,0,0
2025-03-27,ASML,686.76,HOLD,0.5,10,710.34,41.69,10.98,-104.7,-2.46,-0.88,-1.58,743.71,710.34,676.96,0,0,0,0,0,0,0
2025-03-28,ASML,670.8,HOLD,0.5,20,708.62,37.98,11.77,-161.39,-5.51,-1.81,-3.71,746.16,708.62,671.08,2,2,1,1,1,2,1
2025-03-31,ASML,658.91,HOLD,0.5,20,706.77,34.6,13.55,-196.43,-10.54,-5.63,-4.91,749.87,706.77,663.67,0,0,0,0,0,0,0
2025-04-01,ASML,663.6,HOLD,0.5,20,704.74,36.39,16.82,-149.34,-12.6,-7.2,-5.4,751.77,704.74,657.7,0,0,0,0,0,0,0
2025-04-02,ASML,665.26,SELL,0.8,40,701.22,37.15,14.78,-118.28,-13.54,-8.12,-5.42,749.01,701.22,653.42,2,-2,-1,-1,-2,-2,-1
2025-04-03,ASML,619.72,HOLD,0.6,30,696.66,28.3,16.63,-192.53,-18.03,-10.11,-7.92,755.92,696.66,637.41,0,0,0,0,0,0,0
2025-04-04,ASML,602.15,HOLD,0.5,20,690.37,25.76,18.9,-209.64,-22.74,-12.63,-10.11,760.66,690.37,620.07,1,-1,-1,-1,0,-1,1
2025-04-07,ASML,612.39,HOLD,0.5,30,687.02,29.56,19.94,-162.06,-25.63,-15.56,-10.07,765.05,687.02,609.0,0,0,0,0,0,0,0
2025-04-08,ASML,592.03,HOLD,0.6,30,682.31,26.59,19.61,-150.23,-28.56,-17.58,-10.98,770.64,682.31,593.97,0,0,0,0,0,0,0
2025-04-09,ASML,683.4,SELL,0.7,30,681.5,50.91,18.13,-41.69,-24.23,-19.62,-4.61,769.5,681.5,593.51,1,-1,-1,-1,-1,-1,1
2025-04-10,ASML,645.91,HOLD,0.5,10,679.27,44.36,16.93,-63.33,-23.03,-20.3,-2.73,768.48,679.27,590.05,0,0,0,0,0,0,0
2025-04-11,ASML,665.06,HOLD,0.5,10,677.02,48.04,16.17,-28.88,-20.3,-20.3,0.01,765.28,677.02,588.75,0,0,0,0,0,0,0
2025-04-14,ASML,669.1,HOLD,0.6,20,674.16,48.51,18.42,-10.84,-18.86,-21.47,2.61,759.52,674.16,588.8,2,1,1,1,2,1,-1
2025-04-15,ASML,679.33,SELL,0.6,20,671.78,50.75,17.39,14.59,-14.66,-18.92,4.25,753.69,671.78,589.86,2,-1,-1,-1,0,-1,1
